,UserID,Crypto,Balance
106,38C346411FEBDD,BTC,0.0013520300
107,38B8DB88D09494,BTC,0.0013424400
108,38CFCC75DAF65B,BTC,0.0013405800
109,38B8BC603C1515,BTC,0.0013385400
110,38C34022D6F039,BTC,0.0013315400
111,38D705B362AB9D,BTC,0.0013121200
112,38D158B8D3C8A5,BTC,0.0012981600
113,38CF3FAEBFCD89,BTC,0.0012964800
114,38CE60F9CBF852,BTC,0.0012866700
115,38D59A2C8DDCE7,BTC,0.0012791000
116,38C3E7D4DA0644,BTC,0.0012647300
117,38BB37DC3E01FD,BTC,0.0012622900
118,38DCBBE496480A,BTC,0.0012507600
119,38D0721F74D638,BTC,0.0012488000
120,38C32AD768BEFA,BTC,0.0012446800
121,38D217970FABE3,BTC,0.0012321200
122,38D88F44C0C9F9,BTC,0.0012301400
123,38CE829B25EDF6,BTC,0.0012110200
124,38CE970C41280C,BTC,0.0012083700
125,38D11447F6B0AD,BTC,0.0012050000
126,38CCF8F7B4A004,BTC,0.0011834100
127,38D35C601016DA,BTC,0.0011753900
128,38B36DE477DE45,BTC,0.0011705300
129,38D100472E168F,BTC,0.0011672200
130,38B35FB3B54025,BTC,0.0011573500
131,38B349EF6DEDAC,BTC,0.0011573500
132,38B3309CDE0FFE,BTC,0.0011572300
133,38B3C055B63295,BTC,0.0011557900
134,38B42F43C6B470,BTC,0.0011557200
135,38B43C7206E4F6,BTC,0.0011556200
136,38B42B3C6BB795,BTC,0.0011528300
137,38D6FBE60A7D7C,BTC,0.0011503300
138,38D14B2856932D,BTC,0.0011481000
139,38D1ADE0D03F85,BTC,0.0011463300
140,38D1D37E696B1D,BTC,0.0011449500
141,38D0EB2C26853C,BTC,0.0011423300
142,390A4E4FA0B4BE,BTC,0.0011422100
143,38F155E85EE132,BTC,0.0011311500
144,38D3F842DFB568,BTC,0.0011295200
145,38D2BB529317A5,BTC,0.0011284000
146,38D36983DEB72D,BTC,0.0011283400
147,38D2B28E371806,BTC,0.0011282700
148,38D266895E605C,BTC,0.0011282200
149,38D37CF9A7010B,BTC,0.0011281800
150,38D2BE2A3BA3F9,BTC,0.0011280700
151,38D2ACC7F9C133,BTC,0.0011280600
152,38D36134A6717A,BTC,0.0011279700
153,38D35CA984F5EF,BTC,0.0011279200
154,38D1C7F6F1E34E,BTC,0.0011277300
155,38BA20950BC19F,BTC,0.0011276900
156,38D35F4194B579,BTC,0.0011276500
157,38D2807D8E2107,BTC,0.0011275200
158,38D124E4238119,BTC,0.0011274100
159,38D2001CEB8528,BTC,0.0011274000
160,38D35AAD60342B,BTC,0.0011272700
161,38D1C3F7C90054,BTC,0.0011272500
162,38D1DC44AC58E2,BTC,0.0011271900
163,38D2B4FBF8F518,BTC,0.0011271200
164,38D1FD308BED37,BTC,0.0011271200
165,38D36E7090A4AC,BTC,0.0011269900
166,38D366530D0201,BTC,0.0011269400
167,38D1EBF0F7CD5C,BTC,0.0011269300
168,38D1D021C57470,BTC,0.0011268700
169,38D1E51BDF1411,BTC,0.0011267300
170,38D11D5AA88688,BTC,0.0011266000
171,38D37438FB5C8A,BTC,0.0011265700
172,38D256B211C1BD,BTC,0.0011265700
173,38D1D72ACAA3B2,BTC,0.0011264300
174,38D2B8DFBA6BBA,BTC,0.0011263500
175,38D2633CEB6C41,BTC,0.0011262300
176,38D37A3CB721BD,BTC,0.0011261400
177,38B3665841B327,BTC,0.0011230000
178,38CFEA91CEC1FC,BTC,0.0011194400
179,38C6BEC300C7BB,BTC,0.0011168600
180,38C2CCDB43ECFE,BTC,0.0011105100
181,38D4E22D29750B,BTC,0.0011021000
182,38D54175155226,BTC,0.0011001400
183,38CEA2F0FC9E6C,BTC,0.0010990600
184,38D054B28B1247,BTC,0.0010987800
185,38D0F09367FC48,BTC,0.0010898400
186,38D0F950F88D7E,BTC,0.0010898300
187,38D59CD2341092,BTC,0.0010868900
188,38CF1DA164ACAA,BTC,0.0010851400
189,38EA92EC808318,BTC,0.0010825600
190,38D28BDE8C2659,BTC,0.0010629300
191,38D3C083AFB821,BTC,0.0010618000
192,38CE69514F7858,BTC,0.0010617200
193,38CE5E1632C5A9,BTC,0.0010615700
194,38C94E05DB40E8,BTC,0.0010611700
195,38D57D3A725BA1,BTC,0.0010557200
196,38CEBBABB1DB76,BTC,0.0010546100
197,38D44465194520,BTC,0.0010519400
198,38D485F7A9C0ED,BTC,0.0010519200
199,38EF7B26EAB68E,BTC,0.0010435200
200,38C7345F1C28CC,BTC,0.0010424400
201,38D01BEDB129C0,BTC,0.0010408900
202,38C8FE98B3A5B4,BTC,0.0010391300
203,38B83042C26164,BTC,0.0010326900
204,38B7FD84A6854A,BTC,0.0010320700
205,38B810BEFEFDE9,BTC,0.0010320700
206,38D67416393916,BTC,0.0010289600
207,38D0493B4D7C9C,BTC,0.0010246500
208,38D035AC9CF0DC,BTC,0.0010246300
209,38D044A32BE941,BTC,0.0010246200
210,38D0247D6AE814,BTC,0.0010245900
211,38B21C9FDD64BA,BTC,0.0010238900
212,38C972E9635F8F,BTC,0.0010133700
213,38C98160857D0B,BTC,0.0010123100
214,38C89AE6E51F5E,BTC,0.0010122200
215,38C95190D046B3,BTC,0.0010121700
216,38C8704FD9274E,BTC,0.0010114200
217,38C95EE5F7919E,BTC,0.0010109900
218,38C88CD3646476,BTC,0.0010104700
219,38CE5933436C81,BTC,0.0010089000
220,38BAEFA5C052DA,BTC,0.0010027800
221,38BAE1420E0C5A,BTC,0.0010026800
222,38BAD2F021E12C,BTC,0.0010018300
223,38C4290AA8F63F,BTC,0.0010014300
224,38D119755CD8E8,BTC,0.0009982300
225,38D077B2BE241D,BTC,0.0009976100
226,38D26AC0CDF028,BTC,0.0009945300
227,38D12C8E06C16D,BTC,0.0009918900
228,38D4C004A08DE9,BTC,0.0009908900
229,38C535907D77A8,BTC,0.0009895500
230,38DE37EF807A0B,BTC,0.0009879200
231,38C779A057243F,BTC,0.0009845800
232,38BF04AEECAAB2,BTC,0.0009838200
233,38BF22A24D5E10,BTC,0.0009838200
234,38C60D30B0B913,BTC,0.0009837800
235,38C6300082BC1D,BTC,0.0009837000
236,38BD8A78E013AC,BTC,0.0009837000
237,38BD34EEC021DF,BTC,0.0009836600
238,38BFB597A1931D,BTC,0.0009835100
239,38BD572A4EF580,BTC,0.0009833100
240,38BF12BD933467,BTC,0.0009831100
241,38BED21FAF8DF3,BTC,0.0009829600
